process_id,degradation_level,rank_last,rank_best_train,rank_best_test,not_first_prob
PPO_Ant_seed1,0.014902476190476178,2,1,3,0.0
PPO_Ant_seed1,0.015169567567567557,3,1,2,0.0
PPO_Ant_seed1,0.015067758389261734,1,2,3,0.0
PPO_Ant_seed1,0.014967306666666656,3,2,1,0.0
PPO_Ant_seed1,0.014868185430463565,3,2,1,0.0
PPO_Ant_seed1,0.015329684210526303,3,2,1,0.0
PPO_Ant_seed1,0.01580522875816992,3,2,1,0.0
PPO_Ant_seed1,0.01590815584415583,3,2,1,0.0
PPO_Ant_seed1,0.015805522580645145,3,2,1,0.0
PPO_Ant_seed1,0.015704205128205116,3,2,1,0.0
PPO_Ant_seed1,0.016065579617834384,3,2,1,0.0
PPO_Ant_seed1,0.01655432911392404,3,2,1,0.0
PPO_Ant_seed1,0.01663416352201257,3,2,1,0.0
PPO_Ant_seed1,0.016530199999999988,3,2,1,0.0
PPO_Ant_seed1,0.016820322981366445,3,2,1,0.0
PPO_Ant_seed1,0.01671649382716048,2,3,1,0.05828977369135091
PPO_Ant_seed1,0.016613938650306734,2,3,1,0.10385348934304207
PPO_Ant_seed1,0.01651263414634145,1,2,3,0.5
PPO_Ant_seed1,0.01652562424242423,2,1,3,0.0
PPO_Ant_seed1,0.016426072289156612,1,2,3,0.0
PPO_Ant_seed1,0.01681269461077843,1,2,3,0.0
PPO_Ant_seed1,0.01671261904761903,1,2,3,0.5
PPO_Ant_seed1,0.016613727810650875,1,2,3,0.6763421959559723
PPO_Ant_seed1,0.0168537882352941,2,1,3,0.3563350275605661
PPO_Ant_seed1,0.01696631578947367,2,1,3,0.4820388935224349
PPO_Ant_seed1,0.016867674418604636,2,1,3,0.32698070068116664
PPO_Ant_seed1,0.01677017341040461,1,2,3,0.0
PPO_Ant_seed1,0.01667379310344826,1,2,3,0.0
PPO_Ant_seed1,0.016601599999999987,2,3,1,0.0
PPO_Ant_seed1,0.016774999999999984,2,3,1,0.0
PPO_Ant_seed1,0.01668022598870055,1,2,3,0.5564295647698241
PPO_Ant_seed1,0.01658651685393257,3,1,2,0.07471533739370431
PPO_Ant_seed1,0.016493854748603338,3,1,2,0.10713385644537862
PPO_Ant_seed1,0.016402222222222207,3,1,2,0.06958269771689517
PPO_Ant_seed1,0.016311602209944737,3,1,2,0.08938707428197201
PPO_Ant_seed1,0.016284791208791196,3,1,2,0.06183740398162052
PPO_Ant_seed1,0.016691060109289606,2,1,3,0.10345720848139661
PPO_Ant_seed1,0.01660765217391303,2,3,1,0.2635835681845408
PPO_Ant_seed1,0.016517881081081067,2,3,1,0.27917237758171987
PPO_Ant_seed1,0.016429075268817192,2,3,1,0.29580004508835345
PPO_Ant_seed1,0.016755465240641698,3,2,1,0.18912750182562868
PPO_Ant_seed1,0.016996680851063817,3,2,1,0.16489458240631233
PPO_Ant_seed1,0.01690675132275131,3,2,1,0.15663468638182693
PPO_Ant_seed1,0.0172741894736842,3,2,1,0.15686180115058643
PPO_Ant_seed1,0.017183748691099465,3,2,1,0.15253009165929385
PPO_Ant_seed1,0.017503374999999984,3,2,1,0.15253217986947143
PPO_Ant_seed1,0.017621927461139882,3,2,1,0.15209294829674794
PPO_Ant_seed1,0.01753109278350514,3,2,1,0.16562068306273695
PPO_Ant_seed1,0.01744118974358973,3,2,1,0.18032170406510808
PPO_Ant_seed1,0.017352204081632638,3,2,1,0.1811223738829021
PPO_Ant_seed1,0.017799431472081205,3,2,1,0.1563139133681118
PPO_Ant_seed1,0.018345171717171704,3,2,1,0.1525112663197256
PPO_Ant_seed1,0.018412743718592948,3,1,2,0.5615526102633174
PPO_Ant_seed1,0.01832067999999998,2,1,3,0.7553945846238682
PPO_Ant_seed1,0.01822953233830844,1,3,2,0.0
PPO_Ant_seed1,0.018139287128712853,1,3,2,0.5709432293882162
PPO_Ant_seed1,0.01804993103448274,1,3,2,0.0
PPO_Ant_seed1,0.018257333333333316,1,3,2,0.47933813893292876
PPO_Ant_seed1,0.018168273170731688,1,2,3,0.02134699539024145
PPO_Ant_seed1,0.01828897087378639,1,2,3,0.507914588124726
PPO_Ant_seed1,0.018200618357487902,1,2,3,0.5
PPO_Ant_seed1,0.01811311538461537,1,2,3,0.5205701296859737
PPO_Ant_seed1,0.019074832535885152,2,1,3,0.13796293726217862
PPO_Ant_seed1,0.018983999999999984,1,2,3,0.9451208945888743
PPO_Ant_seed1,0.0201383886255924,1,2,3,0.6692389087927388
PPO_Ant_seed1,0.02004339622641508,1,2,3,0.7480697523295722
PPO_Ant_seed1,0.019949295774647872,1,2,3,0.7869164647972735
PPO_Ant_seed1,0.019856074766355123,3,1,2,0.48235297915120523
PPO_Ant_seed1,0.019763720930232542,1,2,3,0.16025672565327273
PPO_Ant_seed1,0.019672222222222206,1,3,2,0.0
PPO_Ant_seed1,0.01958156682027648,1,3,2,0.0
PPO_Ant_seed1,0.01949174311926604,2,3,1,0.10131760918582974
PPO_Ant_seed1,0.01994407305936071,3,2,1,0.057569466390953214
PPO_Ant_seed1,0.020789527272727256,3,2,1,0.04877768302108314
PPO_Ant_seed1,0.02199619909502261,3,2,1,0.05003026646455119
PPO_Ant_seed1,0.0218971171171171,3,2,1,0.05078738908616241
